Year	Winner	Result	Runner-up
1903	Boston Americans	5-3	Pittsburgh Pirates
1905	New York Giants	4-1	Philadelphia Athletics
1906	Chicago White Sox	4-2	Chicago Cubs
1907	Chicago Cubs	4-0	Detroit Tigers
1908	Chicago Cubs	4-1	Detroit Tigers
1909	Pittsburgh Pirates	4-3	Detroit Tigers
1910	Philadelphia Athletics	4-1	Chicago Cubs
1911	Philadelphia Athletics	4-2	New York Giants
1912	Boston Red Sox	4-3	New York Giants
1913	Philadelphia Athletics	4-1	New York Giants
1914	Boston Braves	4-0	Philadelphia Athletics
1915	Boston Red Sox	4-1	Philadelphia Phillies
1916	Boston Red Sox	4-1	Brooklyn Robins
1917	Chicago White Sox	4-2	New York Giants
1918	Boston Red Sox	4-2	Chicago Cubs
1919	Cincinnati Reds	5-3	Chicago White Sox
1920	Cleveland Indians	5-2	Brooklyn Robins
1921	New York Giants	5-3	New York Yankees
1922	New York Giants	4-0	New York Yankees
1923	New York Yankees	4-2	New York Giants
1924	Washington Senators	4-3	New York Giants
1925	Pittsburgh Pirates	4-3	Washington Senators
1926	St. Louis Cardinals	4-3	New York Yankees
1927	New York Yankees	4-0	Pittsburgh Pirates
1928	New York Yankees	4-0	St. Louis Cardinals
1929	Philadelphia Athletics	4-1	Chicago Cubs
1930	Philadelphia Athletics	4-2	St. Louis Cardinals
1931	St. Louis Cardinals	4-3	Philadelphia Athletics
1932	New York Yankees	4-0	Chicago Cubs
1933	New York Giants	4-1	Washington Senators
1934	St. Louis Cardinals	4-3	Detroit Tigers
1935	Detroit Tigers	4-2	Chicago Cubs
1936	New York Yankees	4-2	New York Giants
1937	New York Yankees	4-1	New York Giants
1938	New York Yankees	4-0	Chicago Cubs
1939	New York Yankees	4-0	Cincinnati Reds
1940	Cincinnati Reds	4-3	Detroit Tigers
1941	New York Yankees	4-1	Brooklyn Dodgers
1942	St. Louis Cardinals	4-1	New York Yankees
1943	New York Yankees	4-1	St. Louis Cardinals
1944	St. Louis Cardinals	4-2	St. Louis Browns
1945	Detroit Tigers	4-3	Chicago Cubs
1946	St. Louis Cardinals	4-3	Boston Red Sox
1947	New York Yankees	4-3	Brooklyn Dodgers
1948	Cleveland Indians	4-2	Boston Braves
1949	New York Yankees	4-1	Brooklyn Dodgers
1950	New York Yankees	4-0	Philadelphia Phillies
1951	New York Yankees	4-2	New York Giants
1952	New York Yankees	4-3	Brooklyn Dodgers
1953	New York Yankees	4-2	Brooklyn Dodgers
1954	New York Giants	4-0	Cleveland Indians
1955	Brooklyn Dodgers	4-3	New York Yankees
1956	New York Yankees	4-3	Brooklyn Dodgers
1957	Milwaukee Braves	4-3	New York Yankees
1958	New York Yankees	4-3	Milwaukee Braves
1959	Los Angeles Dodgers	4-2	Chicago White Sox
1960	Pittsburgh Pirates	4-3	New York Yankees
1961	New York Yankees	4-1	Cincinnati Reds
1962	New York Yankees	4-3	San Francisco Giants
1963	Los Angeles Dodgers	4-0	New York Yankees
1964	St. Louis Cardinals	4-3	New York Yankees
1965	Los Angeles Dodgers	4-3	Minnesota Twins
1966	Baltimore Orioles	4-0	Los Angeles Dodgers
1967	St. Louis Cardinals	4-3	Boston Red Sox
1968	Detroit Tigers	4-3	St. Louis Cardinals
1969	New York Mets	4-1	Baltimore Orioles
1970	Baltimore Orioles	4-1	Cincinnati Reds
1971	Pittsburgh Pirates	4-3	Baltimore Orioles
1972	Oakland Athletics	4-3	Cincinnati Reds
1973	Oakland Athletics	4-3	New York Mets
1974	Oakland Athletics	4-1	Los Angeles Dodgers
1975	Cincinnati Reds	4-3	Boston Red Sox
1976	Cincinnati Reds	4-0	New York Yankees
1977	New York Yankees	4-2	Los Angeles Dodgers
1978	New York Yankees	4-2	Los Angeles Dodgers
1979	Pittsburgh Pirates	4-3	Baltimore Orioles
1980	Philadelphia Phillies	4-2	Kansas City Royals
1981	Los Angeles Dodgers	4-2	New York Yankees
1982	St. Louis Cardinals	4-3	Milwaukee Brewers
1983	Baltimore Orioles	4-1	Philadelphia Phillies
1984	Detroit Tigers	4-1	San Diego Padres
1985	Kansas City Royals	4-3	St. Louis Cardinals
1986	New York Mets	4-3	Boston Red Sox
1987	Minnesota Twins	4-3	St. Louis Cardinals
1988	Los Angeles Dodgers	4-1	Oakland Athletics
1989	Oakland Athletics	4-0	San Francisco Giants
1990	Cincinnati Reds	4-0	Oakland Athletics
1991	Minnesota Twins	4-3	Atlanta Braves
1992	Toronto Blue Jays	4-2	Atlanta Braves
1993	Toronto Blue Jays	4-2	Philadelphia Phillies
1995	Atlanta Braves	4-2	Cleveland Indians
