Year	Winner	Result	Runner-up
1996	D.C. United	3-2	Los Angeles Galaxy
1997	D.C. United	2-1	Colorado Rapids
1998	Chicago Fire	2-0	D.C. United
1999	D.C. United	2-0	Los Angeles Galaxy
2000	Kansas City Wizards	1-0	Chicago Fire
2001	San Jose Earthquakes	2-1	Los Angeles Galaxy
2002	Los Angeles Galaxy	1-0	New England Revolution
2003	San Jose Earthquakes	4-2	Chicago Fire
2004	D.C. United	3-2	Kansas City Wizards
2005	Los Angeles Galaxy	1-0	New England Revolution
2006	Houston Dynamo	1-1	New England Revolution
2007	Houston Dynamo	2-1	New England Revolution
2008	Columbus Crew	3-1	New York Red Bulls
2009	Real Salt Lake	1-1	Los Angeles Galaxy
2010	Colorado Rapids	2-1	FC Dallas
2011	Los Angeles Galaxy	1-0	Houston Dynamo
2012	Los Angeles Galaxy	3-1	Houston Dynamo
2013	Sporting Kansas City	1-1	Real Salt Lake
2014	Los Angeles Galaxy	2-1	New England Revolution
2015	Portland Timbers	2-1	Columbus Crew
2016	Seattle Sounders FC	0-0	Toronto FC
2017	Toronto FC	2-0	Seattle Sounders FC
